Track_URI,Track_Name,Album_Name,Artist_Name(s),Release_Date,Duration_ms,Popularity,Explicit,Added_By,Added_At,Genres,Record_Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature
spotify:track:fAbnFbmOHnKYaXRvj7uff0,Pyaar 1,Roja,Sunidhi Chauhan,10/8/21,198685,5,FALSE,producer,2026-01-05T03:59:24Z,"hindi pop,bollywood,indie pop,desi pop",Sony Music Entertainment India Pvt. Ltd.,0.259,0.435,10,-6.959,1,0.231,0.70457,0,0.773,0.987,186.851,3
spotify:track:OLkTkx9NIQ0Wobtqn62tOy,Sukoon 2,Jab Tak Hai Jaan,"Alka Yagnik, Pritam",4/3/25,397039,58,TRUE,discover_weekly,2022-12-20T04:15:47Z,"telugu pop,tollywood,telugu hip hop,desi pop",Universal Music India,0.621,0.41,9,-9.43,1,0.145,0.99733,0.069,0.091,0.142,67.544,5
spotify:track:Qh2UVvsjaSS8VFgM0Fmxk7,Sukoon 3,3 Idiots,"Flipperachi, Raftaar, Nora Fatehi, Mohammed Rafi",5/6/25,338058,0,FALSE,music_fan_india,2025-06-24T00:07:59Z,"ghazal,sufi,classical,devotional,qawwali",YRF Music,0.472,0.988,4,-11.887,0,0.351,0.94695,0.043,0.816,0.98,135.233,3
spotify:track:UQSyPx3BpdbIKaRdebuFrE,Tarang 4,Padmaavat,"Pritam, Himesh Reshammiya",1/17/21,129369,92,FALSE,producer,2022-09-22T15:51:26Z,"indie pop,desi indie,alternative,experimental",Bhushan Kumar,0.343,0.278,6,-10.394,1,0.187,0.72908,0,0.061,0.755,178.095,3
spotify:track:B1Id9Z850kEnydx9qWCA79,Sukoon 5,Thuppaki Munai,Big Dhamma,3/26/21,407011,91,FALSE,bollywood_lover,2021-09-26T06:18:13Z,"malayalam pop,malayalam hip hop,desi pop,indian indie",Sony Music Entertainment India Pvt. Ltd.,0.927,0.663,8,-14.208,1,0.023,0.58418,0,0.057,0.557,186.215,3
spotify:track:OJtqPtqiOC56aMIgHFivep,Dil 6,Mastizaade,"Dabboo Malik, Asha Bhosle, Anirudh Ravichander",3/13/18,142704,56,FALSE,audiophile,2025-12-06T00:42:52Z,"hindi pop,bollywood,indie pop,desi pop",Bhushan Kumar,0.616,0.945,1,-2.794,0,0.106,0.88971,0,0.272,0.644,164.818,3
spotify:track:cui8kBRIg6QjcwIAcw58cw,Pyaar 7,Bombay,"Nucleya, Prabh Deep",8/25/22,190825,85,TRUE,playlist_curator,2023-12-19T17:56:55Z,"indie pop,desi indie,alternative,experimental",T-Series,0.505,0.697,2,-2.965,0,0.346,0.97621,0.405,0.025,0.763,103.15,4
spotify:track:1nYCsXoblu17rNy8H6h8l7,Track 8: Electric,Midnights,Taylor Swift,12/23/17,80057,13,FALSE,music_fan_india,2023-11-16T23:50:20Z,"pop,hip-hop,r&b,electronic",Saregama,0.527,0.987,1,-9.992,0,0.102,0.70879,0,0.364,0.163,156.278,4
spotify:track:IlPxUkJzZsnWLtBPFX7TOr,Raag 9,Dil Se,"Anirudh Ravichander, Neha Kakkar, Nucleya",6/12/22,391843,79,FALSE,playlist_curator,2021-01-17T07:43:19Z,"bollywood,pop,desi,indie",Muve Music,0.368,0.359,0,-14.399,1,0.245,0.76849,0,0.718,0.446,113.944,3
spotify:track:Gdp0CXP9K63LSFZH3UDqpN,Raah 10,RRR,Shashwat Sachdev,8/3/23,467725,66,FALSE,radio_listener,2022-09-06T08:28:04Z,"malayalam pop,malayalam hip hop,desi pop,indian indie",Universal Music India,0.735,0.388,5,-10.844,0,0.055,0.23126,0,0.064,0.467,136.818,4
spotify:track:vU07zUHLnnBbuQzkChMbyI,Sur 11,RRR,"Mohammed Rafi, Badshah",4/22/15,104012,82,FALSE,,2021-07-09T14:11:03Z,"ghazal,sufi,classical,devotional,qawwali",Muve Music,0.395,0.462,7,-10.751,1,0.111,0.9512,0,0.47,0.774,58.334,4
spotify:track:jhPInRVkLUhY7gbtP7ySeQ,Khwab 12,RRR,Raftaar,1/13/22,187323,13,FALSE,music_blogger,2021-05-10T18:50:02Z,"bollywood,hindi hip hop,desi,punjabi pop,hindi pop,punjabi hip hop",Universal Music India,0.46,0.543,5,-14.104,1,0.005,0.42006,0.245,0.961,0.672,182.593,5
spotify:track:Ktp5rBUJPuEuEvqrK2IGlo,Sur 13,Party All Night,Sunidhi Chauhan,7/23/19,316155,71,TRUE,radio_listener,2025-05-04T20:45:31Z,"rap,desi hip hop,punjabi rap,hindi rap",Mudi Music,0.536,0.214,4,-12.119,0,0.122,0.58156,0.237,0.426,0.771,102.927,5
spotify:track:HVlnES8GrgmolaHr8IRh1E,Raag 14,Soul of Doctor,"Himesh Reshammiya, Vishal-Shekhar",10/14/24,66430,73,FALSE,,2025-04-06T15:28:21Z,"remixes,edm,desi house,electronic",Universal Music India,0.338,0.241,7,-13.517,0,0.16,0.07408,0,0.152,0.83,201.86,3
spotify:track:BB19sMLT6mnOjkeaBKsoRR,Track 15: Midnight,Happier Than Ever,Eminem,2/3/20,97318,87,TRUE,audiophile,2022-12-19T20:37:42Z,"pop,hip-hop,r&b,electronic",Atlantic Records,0.803,0.358,1,-7.921,0,0.363,0.82663,0,0.793,0.636,181.878,4
spotify:track:cAtpf7ZJ69PqcUDO4lKNEf,Sur 16,Bombay,"Neha Kakkar, Asha Bhosle",11/26/18,274092,42,FALSE,music_blogger,2021-03-04T05:21:26Z,"arabic hip hop,khaleeji,desi,desert pop",Eros Entertainment,0.72,0.431,6,-4.424,0,0.182,0.31452,0.162,0.865,0.842,50.184,5
spotify:track:mI5BRh8LojIIf94ChZESFq,Sur 17,Padmaavat,Sachin-Jigar,5/12/24,312968,60,TRUE,music_fan_india,2025-02-13T17:09:24Z,"telugu pop,tollywood,telugu hip hop,desi pop",Bhushan Kumar,0.343,0.68,11,-3.569,0,0.11,0.79001,0.207,0.821,0.355,97.769,5
spotify:track:x518ox1ztD4x9XOj7h7ug0,Raag 18,Gully Boy,"Prabh Deep, A.R. Rahman, Big Dhamma",2/13/16,335749,58,TRUE,producer,2021-08-13T13:55:41Z,"bangla pop,bengali hip hop,desi pop,indian indie",Zee Music,0.927,0.26,4,-10.599,1,0.26,0.85177,0.426,0.954,0.664,191.99,4
spotify:track:f8VRgksbudwApzQlkLxQEK,Track 19: Golden,Midnights,Ed Sheeran,8/9/17,301775,81,FALSE,radio_listener,2025-02-25T08:42:00Z,"pop,hip-hop,r&b,electronic",Sony Music,0.874,0.572,4,-6.191,0,0.03,0.94524,0.494,0.639,0.482,90.016,4
spotify:track:s8OrJQUdLE4rXLvNMQSOZM,Raag 20,Roja,"Kaam Bhaari, Shashwat Sachdev",2/17/25,388968,82,TRUE,radio_listener,2023-06-19T14:02:37Z,"malayalam pop,malayalam hip hop,desi pop,indian indie",Bhushan Kumar,0.474,0.305,4,-10.753,1,0.07,0.13216,0.27,0.531,0.922,182.876,4
spotify:track:i71S87XwXaHCPPKY6gob2I,Track 21: Electric,Certified Lover Boy,"Beyoncé, Taylor Swift",4/6/25,379858,28,TRUE,bollywood_lover,2025-03-16T22:19:41Z,"pop,hip-hop,r&b,electronic",Bad Boy Records,0.506,0.312,0,-11.043,1,0.046,0.2348,0.269,0.454,0.703,168.902,5
spotify:track:cwB61gQH8wylh0CPNLbWph,Tarang 22,Puthiya Mukham,"A.R. Rahman, R.D. Burman, Shashwat Sachdev",5/1/21,167586,8,TRUE,playlist_curator,2022-06-03T07:21:49Z,"bangla pop,bengali hip hop,desi pop,indian indie",Bhushan Kumar,0.311,0.92,0,-11.395,0,0.395,0.54022,0,0.661,0.123,52.378,3
spotify:track:dBwKCnMT4OsNb90AgSB3tj,Tarang 23,Bombay,Shankar-Ehsaan-Loy,5/31/16,204187,79,FALSE,radio_listener,2024-04-09T19:33:18Z,"bollywood,hindi hip hop,desi,punjabi pop,hindi pop,punjabi hip hop",Sony Music Entertainment India Pvt. Ltd.,0.54,0.684,1,-4.69,0,0.341,0.65092,0,0.43,0.899,116.21,4
spotify:track:5eZffTYIKIuhvPU1S8LvJn,Raag 24,Lagaan,"Shashwat Sachdev, Shreya Ghoshal, Flipperachi",5/13/22,312806,28,TRUE,discover_weekly,2023-12-05T17:23:07Z,"bollywood,pop,desi,indie",Times Music,0.772,0.659,6,-4.013,0,0.244,0.65783,0,0.18,0.732,99.438,4
spotify:track:NbUnAvwSWJfdjMPqPEBqUh,Pyaar 25,Mastizaade,A.R. Rahman,10/27/19,118138,36,FALSE,,2025-11-28T21:19:02Z,"bollywood,pop,desi,indie",Muve Music,0.365,0.988,0,-14.9,1,0.378,0.76735,0.382,0.328,0.107,169.522,3
